High,Low
212.88,204.54
214.45,207.37
212.01,199.68
222.7,203.5
218.65,212.07
224.05,214.79
217.02,202.3
218.03,208.31
227.47,212.46
228.76,217.72
233.7,219.8
225.68,213.57
228.42,206.47
219.13,192.91
234.41,193.48
235.43,204.39
269.62,223.95
275.04,262.85
278.33,266.81
289.14,263.08
313.81,281.53
317.94,303.38
313.15,301.6
309.42,285.28
296.06,285.61
293.61,281.92
301.56,281.18
301.64,289.39
297,273.07
303,280.35
323.21,290.78
324.13,295.44
312.7,295.3
345.83,279.82
364.89,315.99
318.49,307.75
313.67,297.9
320.79,306.12
314,292.09
295.72,271.45
273.18,264.83
269.79,263.61
273.26,261.76
274.14,266.96
282.75,263.96
271.61,260.92
268.81,252.01
262.47,254.02
261.67,242.57
247.77,237.6
246.99,227.38
244.36,227
250.51,241.09
253.12,244.33
250,236.4
248.24,237.94
251.47,235.35
269.77,248.77
272.64,263.59
274.94,261.14
268.7,246.61
287.99,241.51
273.72,260.85
275.39,265.5
279.07,262.96
268.75,245.92
256.9,247.9
254.22,241.74
247.3,231.89
259.7,241.68
261.59,246.85
259.68,238.64
263.05,232.85
247.84,232.13
267.8,224.62
278.52,244.27
249.78,217.32
220.02,195.22
206.1,185.69
202.93,182.81
204.72,172.75
175.78,168.86
173.28,167.03
172.68,165.7
181.39,169.06
176.98,159.66
165.25,159.56
171.04,160.36
169.8,160.86
162.88,159.22
163.7,158.85
162.56,154.94
159.16,152.6
160.28,157.54
161.95,156.74
161.82,152.32
165.81,151.73
170.53,154.87
175.92,169.01
172.32,167.07
173.42,164.81
176.71,170.17
173.41,169.15
175.02,165.38
167.21,164.26
166.64,159.52
168.63,153.65
168.18,161.52
165.27,161.34
166.08,158.93
177.63,159.6
183.49,171.61
179.24,172.15
185.54,171.87
175.37,164.17
172.53,160.22
167.34,156.42
164.33,153.26
177.29,152.24
165.42,141.29
143.28,140.26
142.69,140.71
145.85,140.43
143.53,138.13
140.33,137.68
140.08,133.89
134.99,132.61
137.05,132.36
137.53,135.5
138.3,135.76
137.44,134.65
139.74,133.05
139.75,136.56
139.5,137.1
141.87,136.86
141.17,137.61
143.95,136.75
137.68,132.44
134.82,130.48
133.84,131.2
134.93,129.14
136.23,131.66
137.75,134.53
138.57,133.38
139.45,131.66
139.98,135.72
149.49,133.94
141.11,125.44
131.57,123.25
168.42,129.05
136.36,130.74
138.06,128.46
138.56,133.09
159.6,128.15
138.66,134.48
141.57,132.85
165.79,132.87
159.31,146.28
148.83,144.27
149.55,143.5
149.46,140.88
149.84,143.8
147.64,125.07
135.27,122.78
124.5,121.71
124,120.87
124.46,120.44
126.17,121.06
123.99,119.28
125.05,119.55
125.46,116.42
121.09,117.96
122.58,103.89
106.12,104.29
107.67,102.28
108.32,106.6
109.24,106.95
111.25,106.36
111.16,106.29
108.54,104.41
110.56,105.86
109.67,103.82
107.32,102.89
113.14,101.6
116.24,112.03
117.63,115.37
117.41,115.03
117.32,114.93
119.01,115.52
119.47,112.36
118.04,114.15
123.52,116.25
125.37,119.34
122.19,118.27
123.03,117.51
126.5,119.1
129.6,116.9
130.3,114.62
124.09,112.79
126.15,122.73
127.83,121.28
150.09,121.98
152.57,147.95
152.21,146.29
156.36,148.47
158.29,148.63
159.78,152.84
155.4,145.29
154.3,144.39
155.93,138.74
140.51,130.67
