High,Low
4140.3,3665.8
3924.7,3647.5
3683.1,3456.9
3597.4,3243.1
3305,3225.9
3282.3,3177
3336.6,3199.1
3474.4,3284.8
3510.2,3379.4
3485.9,3349.9
3622.4,3412.7
3677.6,3424.2
3507.7,3302.9
3626.6,3251.8
3887.2,3505.7
3974.1,3765.2
4082.9,3809.3
4177,3839.9
4316.1,4105.3
4299.1,3967.1
4340.6,3954.5
4440.1,4140.6
4391.8,3866.4
3920.6,3687.8
4179,3679.8
4198.4,3634.2
4494.6,3821.5
4455.6,4223.7
4695.7,4346.7
4743.7,4393
5013.4,4272.3
5662.5,4831.1
5727.9,5615.5
5645.5,5561.4
5747.7,5539.7
5878.5,5384.1
6453.3,5619.2
6466.8,6386.7
6475.9,6409.4
6451.7,6359
6461.7,6411.7
6496.1,6390
6577.3,6466.3
6594.3,6502
6509.6,6441.6
6489.2,6431.7
6508.9,6359.7
6429.5,6346.2
6444.3,6390.9
6421.8,6354.2
6405.7,6257.8
6469.9,6316.5
6498.4,6310.5
6502.2,6461.2
6534,6473.7
6570.5,6498.5
6544.8,6491.5
6593.8,6522.6
6573.6,6500.5
6612.7,6529.5
6643.1,6568
6593.7,6495.9
6603.2,6506.9
6736.3,6530.6
6745.9,6637.8
6836.7,6645.4
7358.4,6300.2
6390.9,6300
6329.3,6282.8
6344.8,6206.8
6622.5,6206.2
6653.5,6526
6678.9,6613.3
6699.5,6589.9
6633.9,6523.8
6661.5,6550.4
6682.3,6537.6
6653,6487.8
6563.5,6429.6
6645.7,6034.9
6674.7,6072.7
6673.9,6533.5
6648.4,6464.4
6809.2,6538.6
6738.3,6428.8
6551.9,6384.1
6590.6,5977
6728.1,6559.1
6789.4,6666.4
6833.3,6635.5
6780.5,6489.8
6537.5,6346.4
6478.7,6144.5
6388.8,6228.8
6533.5,6215.9
6520.8,6406.2
6562.9,6470.3
6579.4,6412.1
6867.3,6337.8
6353.5,6204.5
6391.8,6189.6
6358.5,6237.3
6432.6,6148.8
6484.3,6132.3
6540.6,6316.2
6732.9,6337.8
7407.5,6691.8
7409.9,7234.5
7330.7,7182.8
7334.8,7117.3
7264.3,7020.4
7080.2,6698
7050.2,6798
7121.4,6926.7
7129.7,6861.2
6902.9,6650.4
6892.7,6573.1
6783.4,6655.3
6721.2,6472.8
6550.2,6359.2
6840.8,6304.8
6484.1,6257.4
6516.4,6255.9
6534.8,6316
6626.4,6295.5
6581.7,6291.8
6470.9,6249.8
6592.8,6177.9
6255.3,5898.3
6524.1,6159.6
6453,6169.8
6469.6,6009.8
6570.2,6043.4
6620.2,6197
6725.2,6138.8
7149.7,6689.9
7143.6,6852.5
7087.6,6887.9
7484.2,6949.7
7535.6,7293.5
7701.4,7470.6
7753.2,7449.2
8176.5,7649.8
8262,7874.4
8275.4,8113.3
8234.1,8077.4
8273.8,7808.3
8304.3,7861
8484.6,8062.1
8479.8,7701.9
7809.6,7379.2
7575.3,7343.7
7460.8,7223.5
7683.6,7292
7558.4,7288.8
7581.2,7249.3
7453.2,6666
6749.2,6344.1
6399.6,6238.5
6313.5,6192.5
6333.8,6144.5
